Registered,Project title,Host parties,Other Parties,Methodology,Reductions,Ref
02/03/2012,"Hubei Shiyan Zhuxi Baishahe Hydropower Station",China,Netherlands,ACM0002 ver. 12,95999,5838
02/03/2012,"20 MW Xuzhou Xiexin Photovoltaic Solar Power Plant",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,19815,5609
02/03/2012,"Gas-Steam Combined Cycle Power Plant (CCPP) Project of Laiwu Iron & Steel Group Corp.",China,Netherlands/ Italy,ACM0012 ver. 3,394933,3400
05/03/2012,"Heilongjiang Huanan Hengdaishan East (II) Wind Power Project",China,Switzerland,ACM0002 ver. 12,42774,5834
05/03/2012,"Guizhou Pan County Yingwudashan Small-scale Hydro Power Project",China,,AMS-I.D. ver. 17,27830,5551
05/03/2012,"Heilongjiang Hailin Weihushan Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,121476,5443
06/03/2012,"Biogas y Energía - Methane recovery & power generation from oil mill plant effluents",Honduras,,AMS-III.H. ver. 16/ AMS-I.D. ver. 17,49068,5354
06/03/2012,"Aberdare Range/ Mt. Kenya Small Scale Reforestation Initiative Kibaranyeki Small Scale A/R Project",Kenya,Canada,AR-AMS0001 ver. 5,7427,5585
06/03/2012,"Utilization of LCV (Low Calorific Value) waste gas for energy generation project at Chanderiya, Rajasthan",India,,AMS-III.Q. ver. 4,34867,5824
06/03/2012,"Ningxia Taiyangshan Phase I Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,91607,5849
06/03/2012,"Sichuan Keguang 1st Level Hydropower Project",China,Switzerland,ACM0002 ver. 12,79957,5612
07/03/2012,"Hunan Daxing Small Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,19060,5709
07/03/2012,"3 MW wind project by Shah Foils",India,,AMS-I.D. ver. 16,5769,5527
07/03/2012,"CGN Inner Mongolia Suniteyouqi Phase 3 Windfarm Project",China,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,108488,5746
07/03/2012,"Leak reduction in above ground gas distribution system in the gas distribution networks in Khorezm region and the Republic of Karakalpakstan",Uzbekistan,United Arab Emirates,AM0023 ver. 3,232184,5166
08/03/2012,"2.75 MW Wind Power Project at Marudhar Fashions.",India,,AMS-I.D. ver. 17,4147,5874
08/03/2012,"CGN Liaoning Paoya Dabeishan Wind Power Project",China,Finland,ACM0002 ver. 12,103776,5747
08/03/2012,"China Resources Weichang Yudaokou Yangbaishun 49.5 MW Wind Power Project",China,,ACM0002 ver. 12,94505,5836
08/03/2012,"CGN Inner Mongolia Wuliji Phase II Wind Farm Project",China,Germany/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,103098,5809
08/03/2012,"Methane Recovery Project of Tiancheng Corn Development Co., Ltd.",China,France/ United Kingdom of Great Britain and Northern Ireland,AMS-III.H. ver. 16/ AMS-I.F.,35260,4188
09/03/2012,"Datang Qixia Zangjiazhuang Garden Wind Farm Project",China,Switzerland,ACM0002 ver. 12,81733,5839
09/03/2012,"Wind power project by TVS Energy Limited in Theni, Tamil Nadu",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,18863,5871
09/03/2012,"Orissa Lighting Energy Efficiency Project (OLEEP) in Nuapada & Kalahandi District Orissa, India",India,United Kingdom of Great Britain and Northern Ireland,AMS-II.J. ver. 4,11116,5873
09/03/2012,"Oaxaca III Wind Energy Project",Mexico,Switzerland/ Spain,ACM0002 ver. 12,231751,5676
09/03/2012,"Huadian Guyuan Yueliangshan Second Phase 49.5MW Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,90068,5869
09/03/2012,"Jiexiu City Guotai Green Energy Co., Ltd Biomass Power Generation Project in Shanxi Province",China,Switzerland/ Japan,ACM0018,152887,5847
10/03/2012,"Huadian Inner Mongolia Tongliao Kailu Jieji Wind Farm Project",China,Sweden,ACM0002 ver. 12,107124,5481
12/03/2012,"Fumin Dafengyakou 33MW Wind Power Project",China,Australia,ACM0002 ver. 12,65137,5409
12/03/2012,"Fumeng Gulibengao Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,103656,5444
12/03/2012,"MIO Cali, Colombia",Colombia,Netherlands,AM0031 ver. 3,242187,5852
12/03/2012,"PANAMERICANA SOLAR 20 TS: 20 MW Solar Photovoltaic Power Plant",Peru,,ACM0002 ver. 12,36513,5722
13/03/2012,"Taohe Shangchuan Hydropower Project",China,Germany,AMS-I.D. ver. 17,45486,5857
13/03/2012,"BRT Metroplus Medellin, Columbia",Colombia,Switzerland,AM0031 ver. 3,123479,5618
13/03/2012,"Shanghai Lingang New City Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,23777,5823
13/03/2012,"Da Dang 2 Hydropower Project",Viet Nam,Netherlands,ACM0002 ver. 12,86069,5600
14/03/2012,"Heilongjiang Mudanjiang Xiaoguokui Wind Power Project",China,Switzerland,ACM0002 ver. 12,46837,5850
14/03/2012,"Beiliu Kaidi Biomass Power Project",China,Switzerland,ACM0018,120608,5890
14/03/2012,"Henan Dengzhou Biomass cogeneration Project",China,Switzerland,ACM0006 ver. 11,142675,5514
14/03/2012,"Emission reductions through partial substitution of fossil fuels with alternative fuels at PT Semen Tonasa",Indonesia,Sweden/ United Kingdom of Great Britain and Northern Ireland,ACM0003 ver. 7,141069,5468
14/03/2012,"CGN Xinjiang Tacheng Mayitasi Phase I Wind Farm Project",China,Germany/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,99016,5800
15/03/2012,"Shanxi Wulushan 3rd phase Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,37455,5875
15/03/2012,"Hebei Zhangbei Xishungou Wind Farm Project",China,Switzerland/ Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,101927,5284
15/03/2012,"Renewable Wind Power generation for promoting energy security",India,Switzerland/ Australia/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,48430,5553
15/03/2012,"Yugong River 24MW Hydropower Project",China,Sweden,ACM0002 ver. 12,72432,5215
15/03/2012,"Guoshuitou Diaobingshan Quanyangou Wind Power Project",China,Switzerland/ Germany,ACM0002 ver. 12,106793,5851
16/03/2012,"Inner Mongolia China Water Group Huade Heping Wind Farm 49.5MW Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,92743,5900
16/03/2012,"Wastewater Treatment and Methane Recovery at Green Field Joint Stock Company",Viet Nam,Switzerland,ACM0014 ver. 4,138009,5364
16/03/2012,"Song Bung 5 Hydropower Project",Viet Nam,Switzerland,ACM0002 ver. 12,130776,5144
16/03/2012,"3MWp Grid Connected Solar Power Project at Yalesandra Village, Kolar District, Karnataka, India",India,,AMS-I.D. ver. 17,4220,5560
16/03/2012,"Zhoushan MSW Incineration Power Generation Project",China,United Kingdom of Great Britain and Northern Ireland,AM0025 ver. 12,71208,5375
16/03/2012,"Jinhanlazha hydropower station (58MW) of Niru River, Yunnan Province, P.R.China",China,Switzerland,ACM0002 ver. 12,206589,5093
16/03/2012,"Inner Mongolia China Water Group Huade Niujiacun Wind Farm 49.5MW Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,94193,5883
16/03/2012,"Grid-connected Electricity Generation from Biomass at Buayai Bio Power.",Thailand,Denmark,AMS-I.C. ver. 18,27243,3826
19/03/2012,"Sichuan Xiangcheng Mayi River Second Dieshui Hydropower Project",China,Switzerland,ACM0002 ver. 12,67501,5707
19/03/2012,"Everbright Suqian & Huaining Bundled Solar PV Power Generation Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,9033,5913
19/03/2012,"Zhuzhou Landfill Site LFG to Power Generation Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0001 ver. 11,105659,5557
20/03/2012,"Dinh Hai rice husk cogeneration project",Viet Nam,Switzerland,AMS-I.C. ver. 19,23245,5907
20/03/2012,"Datang Keyouzhongqi Naimanpu and Haoyao Wind Farm Project",China,,ACM0002 ver. 12,230167,5808
20/03/2012,"Datang Haipai Donggang Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,100703,5855
21/03/2012,"Yichun xiaochengshan wind power Project",China,Austria,ACM0002 ver. 12,103282,5668
21/03/2012,"Oceanium mangrove restoration project",Senegal,France,AR-AMS0003,2704,5265
21/03/2012,"Sichuan Mianning Changxing Hydropower Station Project",China,Switzerland,ACM0002 ver. 12,99322,5475
21/03/2012,"Methane Recovery and Utilization Project of Shandong Richeast Biotechnology Co., Ltd. in Wastewater Treatment",China,United Kingdom of Great Britain and Northern Ireland,AMS-III.H. ver. 16/ AMS-I.C. ver. 19/ AMS-I.F. ver. 2,70996,5879
21/03/2012,"Inner Mongolia China Water Group Huade Erligetu Wind Farm 49.5MW Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,96953,5904
21/03/2012,"Inner Mongolia China Water Group Huade Cheliwusu Wind Farm 49.5MW Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,95181,5909
22/03/2012,"Luquan County Jiangbian Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,134249,5878
22/03/2012,"Inner Mongolia Hohhot Dayuanshan Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,99122,5559
22/03/2012,"Huolinhe Dongshan Wind Farm Project",China,,ACM0002 ver. 12,104592,5882
22/03/2012,"Heilongjiang Yilan Chenguang Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,131791,5856
23/03/2012,"Baoji Lingyuan Landfill Gas Recovery and Utilization Project",China,Japan,AMS-III.G. ver. 6/ AMS-I.D. ver. 17,43710,5466
23/03/2012,"Wind Power Project in Rajasthan, India by M/s Devki Builders Pvt. Ltd.",India,,AMS-I.D. ver. 17,10240,5923
23/03/2012,"ZOOMLION GHANA LTD Composting of Municipal Solid Waste in Accra area",Ghana,United Kingdom of Great Britain and Northern Ireland,AM0025 ver. 12,68902,5381
23/03/2012,"Adani Enterprises Limited Solar PV Power Project in Gujarat, India",India,Australia/ United Kingdom of Great Britain and Northern Ireland/ France,ACM0002 ver. 12,62217,5928
23/03/2012,"Heilongjiang Jiamusi Jianshan Wind Farm Project",China,,ACM0002 ver. 12,107523,5765
26/03/2012,"Istmeño Wind Farm",Mexico,,ACM0002 ver. 12,580619,4361
26/03/2012,"Qingyuan County Longjing Hydroelectric Power Plant Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,14125,5946
26/03/2012,"Everbright Zhenjiang Bundled Solar PV Power Generation Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,11914,5945
26/03/2012,"Jiangsu Dongtai Phase II Wind Power Project",China,France,ACM0002 ver. 12,338011,5924
26/03/2012,"Tuppadahalli Wind Energy Project",India,,ACM0002 ver. 12,128809,5198
26/03/2012,"Hangzhou II Landfill Gas Power Generation Project",China,Switzerland,ACM0001 ver. 11,200817,5523
26/03/2012,"PT Dalle Energy Batam CCGT conversion project, Indonesia",Indonesia,United Kingdom of Great Britain and Northern Ireland,ACM0007 ver. 4,157317,5506
27/03/2012,"Dakrosa2 Hydropower Project",Viet Nam,Switzerland,AMS-I.D. ver. 17,6332,5949
27/03/2012,"Zhangjiakou Qiaodong District Heating Project",China,United Kingdom of Great Britain and Northern Ireland,AM0058 ver. 3,165527,4944
27/03/2012,"Switch from Single Cycle to Combined Cycle (CC) CDM Project at Sanandaj Power Plant",Iran (Islamic Republic of),Switzerland,ACM0007 ver. 4,693612,5515
27/03/2012,"El General Hydroelectric Project",Costa Rica,Netherlands,ACM0002 ver. 12,66001,4988
27/03/2012,"Switch from Single Cycle to Combined Cycle (CC) CDM Project at Shirvan Power Plant",Iran (Islamic Republic of),Switzerland,ACM0007 ver. 4,783332,5469
27/03/2012,"Sichuan Dafan Hydropower Project",China,Switzerland,ACM0002 ver. 12,832672,4878
27/03/2012,"Huaneng Shandong Rushan Wind Farm Phase II and Phase III bundle Project",China,Switzerland,ACM0002 ver. 12,110576,5841
27/03/2012,"2 * 1.5 MW + 0.60 MW Bundled Wind Power CDM Project in Tamil Nadu, India",India,,AMS-I.D. ver. 17,7641,5499
27/03/2012,"Huaneng Shandong Penglai Daliuhang Wind Power Phase I Project",China,Switzerland,ACM0002 ver. 12,95040,5840
27/03/2012,"Zhangbei Wudengshan Wind Farm Phase I Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,101821,5895
27/03/2012,"Switch from Single Cycle to Combined Cycle (CC) CDM Project at Jahrom Power Plant",Iran (Islamic Republic of),Switzerland,ACM0007 ver. 4,897064,5562
27/03/2012,"Shandong Muping Wind Farm Phase I Project",China,Switzerland,ACM0002 ver. 12,77091,5714
28/03/2012,"Oaxaca II Wind Energy Project",Mexico,Spain,ACM0002 ver. 12,240159,5894
28/03/2012,"Mengyin County Solar Cooker Project",China,Netherlands,AMS-I.C. ver. 19,133533,5877
28/03/2012,"Shandong Zhaoyuan Xiadian First Phase Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,85507,5936
28/03/2012,"Guohua Guyuan Pandaogou Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,100008,5853
29/03/2012,"Malong River 3# Hydropower Project",China,Switzerland,ACM0002 ver. 12,33409,5508
29/03/2012,"Dak Srong 3B Hydropower Project.",Viet Nam,Switzerland,ACM0002 ver. 12,42405,5631
29/03/2012,"Quilvio Cabrera Wind Farm Project",Dominican Republic,,AMS-I.D. ver. 17,10937,5528
29/03/2012,"Grid Connected Wind Energy Generation at Andhra Pradesh.",India,Australia,ACM0002 ver. 12,36738,5921
29/03/2012,"Nam Cat Hydropower Project",Viet Nam,Switzerland,AMS-I.D. ver. 17,10145,5970
29/03/2012,"Inner Mongolia Ximeng Huitengliang Area A Phase I Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,113119,5920
29/03/2012,"Inner Mongolia Ximeng Huitengliang Area A Phase II Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,112649,5912
30/03/2012,"Mare Chicose Landfill Gas Project",Mauritius,Sweden,ACM0001 ver. 11,81601,4359
30/03/2012,"Jiada Coal Mine CMM and VAM Utilization Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0008 ver. 7,135386,5944
30/03/2012,"Salkhit Wind Farm",Mongolia,Sweden,ACM0002 ver. 12,178778,5977
30/03/2012,"CGN Yunnan Mouding Wind Power Project",China,Finland,ACM0002 ver. 12,90004,5791
30/03/2012,"Sichuan Heishui Deshiwo Erji 20.6MW Hydro Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,65560,5915
30/03/2012,"Thai Sritong Power Generation Project",Thailand,Switzerland,AMS-III.H. ver. 16/ AMS-I.D. ver. 17,47112,5961
31/03/2012,"Putian Shijing Phase II Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,25132,5772
01/04/2012,"Fatima N2O Abatement Project",Pakistan,Germany/ Norway/ United Kingdom of Great Britain and Northern Ireland,ACM0019,458114,5461
02/04/2012,"Yunnan Zhilehe the 2nd and 3rd cascade Hydro Power Bundle Project",China,Germany,ACM0002 ver. 12,50633,5957
02/04/2012,"Pure-low Temperature Waste Heat Recovery for Power Generation (4.5MW) in Zhejiang Yunshi Cement Co., Ltd. of Zhaoshan Xinxing Group (ZSYS)",China,United Kingdom of Great Britain and Northern Ireland,AMS-III.Q. ver. 4,24414,5280
02/04/2012,"Palo Viejo Hydroelectric Project",Guatemala,,ACM0002 ver. 12,258423,5942
02/04/2012,"Pampeana and Terra Santa Small Hydropower Plants Project Activity",Brazil,,ACM0002 ver. 12,25194,4996
03/04/2012,"Heilongjiang Wanyuan Biomass Cogeneration Project",China,Finland,AMS-I.C. ver. 18,44749,4836
03/04/2012,"MASISA Biomass Power Project",Chile,Switzerland,AMS-I.C. ver. 19,55195,5363
03/04/2012,"Chengbu County Laozhai Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,50459,5953
03/04/2012,"Sunan bundled small hydropower project in Gansu Province",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,27560,5951
03/04/2012,"Rhodia Nuoc Trong Biogas Capture & Utilization Project, Vietnam",Viet Nam,France,AMS-III.H. ver. 16,9901,5568
03/04/2012,"Rubberflex Biogas Plant, Pahang",Malaysia,Switzerland,AMS-III.H. ver. 16/ AMS-I.C. ver. 19,16609,5983
04/04/2012,"Luni, Iqu and Neogal Small Hydro Power Projects in Kangra District of Himachal Pradesh, India",India,,AMS-I.D. ver. 16,45551,5099
04/04/2012,"13.75 MW Grid connected “Wind Electricity generation Project by Tamilnadu Newsprints and Papers Limited”",India,,ACM0002 ver. 12,28478,5500
05/04/2012,"CGN Jilin Daan Laifu Wind Farm Phase I Project",China,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,110591,5933
05/04/2012,"Jiangxi Leping Mining Administration Low Concentration CMM Utilization Project",China,Switzerland,ACM0008 ver. 7,131967,5972
05/04/2012,"Kulun Banner Eleshun Nanliangshaoruo Wind Power Project",China,Switzerland,ACM0002 ver. 12,111401,5959
05/04/2012,"Inner Mongolia Xing’an League KeyouqianQi Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,122332,5661
05/04/2012,"Datang Qingyuan Phase II Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,67098,5199
06/04/2012,"Xiamen Eastern Municipal Solid Waste Incineration Project",China,Japan/ United Kingdom of Great Britain and Northern Ireland,AM0025 ver. 12,86594,5822
08/04/2012,"VG Energy's Waste to Power at Vichitbhan Palmoil Co., Ltd.",Thailand,United Kingdom of Great Britain and Northern Ireland,ACM0014 ver. 4,58630,5518
09/04/2012,"Anning River Canyon Wind Farm (Phase I) Project in Dechang County Sichuan Province",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,29818,5654
09/04/2012,"Ferrosilicon waste heat power generation project",China,Switzerland,ACM0012 ver. 4,145368,5447
10/04/2012,"Baltra Wind Project in the Galapagos",Ecuador,,AMS-I.F. ver. 2,8936,5993
10/04/2012,"Shanxi Hunyuan Mimazongliang Phase I Wind Power Project",China,,ACM0002 ver. 12,96185,5978
10/04/2012,"Kalasin Wastewater Treatment to Energy Project",Thailand,United Kingdom of Great Britain and Northern Ireland,AMS-III.H. ver. 16/ AMS-I.C. ver. 19,22824,5751
10/04/2012,"Shanxi Hunyuan Mimazongliang Phase II Wind Power Project",China,,ACM0002 ver. 12,94116,5958
10/04/2012,"Inner Mongolia Erenhot 49.5MW Wind Farm Phase I Project",China,,ACM0002 ver. 12,107170,5881
10/04/2012,"China Resources New Energy Lufeng Chengmei Wind Farm Project",China,,ACM0002 ver. 12,84079,5986
11/04/2012,"Inner Mongolia China Water Group Huade Niujiafangzi Wind Farm 49.5MW Project",China,Netherlands/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,96159,5992
11/04/2012,"Shandong Longjoin Zhaoyuan Wind Farm Phase I Project",China,,ACM0002 ver. 12,97612,5880
12/04/2012,"Hydroelectric Project in Kinnaur District in Himachal Pradesh",India,,ACM0002 ver. 12,3541917,4993
12/04/2012,"China Resources Haiyang Dongfang Phase I Wind Power Project",China,,ACM0002 ver. 12,102687,5910
12/04/2012,"Jiyuan MSW Landfill Site LFG Recovery to Power Project",China,Germany,AMS-III.G. ver. 6/ AMS-I.D. ver. 17,30583,5316
12/04/2012,"Sichuan Leshan Ebian Jinyan Hydro Power Project",China,Netherlands,ACM0002 ver. 12,143890,5965
13/04/2012,"Biomass based Cogeneration unit at Co-operative Sugar mills in Nakodar, Punjab, India",India,,AMS-I.C. ver. 19,70684,5980
13/04/2012,"Huaneng Erwenkeqi Yiminsumu Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,111922,5782
13/04/2012,"Nam Mo 3 Hydro Power Project, Vietnam",Viet Nam,Australia,AMS-I.D. ver. 17,21817,6012
13/04/2012,"Liaoning Fuxin Qianzhatai Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,102463,6009
13/04/2012,"Yunnan Fengchunling 3rd Level Small Hydropower Project",China,Portugal/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,42040,6033
13/04/2012,"Cepco Wind Power Project in Gujarat",India,,AMS-I.D. ver. 17,11174,6031
14/04/2012,"Lang Bang Hydropower Project",Viet Nam,Switzerland,AMS-I.D. ver. 17,7931,5967
16/04/2012,"Ningxia Yanchi Qingshan Wind power Guodian Phase I 49.5MW Project",China,Switzerland,ACM0002 ver. 12,95377,5868
16/04/2012,"Anhui Zhongguangyuan Cement 9MW Waste Heat Recovery Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-III.Q. ver. 3,54750,5501
16/04/2012,"CGN Qinghai Xitieshan Phase II 30MWp Grid-connected Solar PV Power Generation Project",China,Switzerland,ACM0002 ver. 12,46310,5952
16/04/2012,"Sichuan Sanchahe River First Cascade & Second Cascade Bundled Hydropower Project of China",China,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,27367,5897
16/04/2012,"Nam Cat Hydropower Plant, Vietnam",Viet Nam,Switzerland,AMS-I.D. ver. 16,7454,5579
16/04/2012,"Guohua Guyuan Xiaoerhao Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,101503,5428
16/04/2012,"CDM Project SHP Santa Carolina",Brazil,,AMS-I.D. ver. 17,7582,6042
16/04/2012,"Heilongjiang Yilan Fuqiang Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,141090,5688
16/04/2012,"Huaneng Erwenkeqi Huihe Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,113012,5818
16/04/2012,"Sichuan Toudaoqiao 10MW Hydropower Project of China",China,Switzerland/ United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,32467,5896
17/04/2012,"Zhangjiakou City Qiaoxi District Heating Project",China,Germany,AM0058 ver. 3/ AM0044,163752,6045
17/04/2012,"Dakrong 3 Hydropower Project",Viet Nam,Switzerland,AMS-I.D. ver. 17,18082,6050
17/04/2012,"Waste Energy Recovery Project at PEMEX TMDB",Mexico,,ACM0012 ver. 3,88111,4966
17/04/2012,"Guodian Shanxi Youyu Caojiashan Phase II Wind Power Project",China,Netherlands,ACM0002 ver. 12,83585,4511
17/04/2012,"Wind power project in Jaisalmer, Rajasthan by Centaur Mercantile Pvt. Ltd.",India,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,14185,5439
17/04/2012,"Leluasa Biomas Steam Plant in Lahad Datu, Sabah, Malaysia",Malaysia,Canada,AMS-I.C. ver. 18,20526,4840
17/04/2012,"Guodian Shanxi Pinglubeishan Phase I Wind Power Project",China,Netherlands,ACM0002 ver. 12,86113,4805
17/04/2012,"Guohua Chicheng Motianling Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,101274,5903
17/04/2012,"Huachuan (Baoshan) Wind Power Project",China,Switzerland,ACM0002 ver. 12,102692,6032
18/04/2012,"Rukti-II (5 MW) Small Hydro Electric Project",India,,AMS-I.D. ver. 17,20169,6048
18/04/2012,"Datang Jiaonan Liuwang Phase II Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,88058,6047
18/04/2012,"Datang Huayin Nanshan Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,85986,6034
18/04/2012,"Datang Jiaonan Liuwang Phase I Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,88334,6044
18/04/2012,"9.75 MW wind power project in Southern India",India,,AMS-I.D. ver. 17,14113,5546
18/04/2012,"Grid connected 3MWp Solar PV power plant in Belgum District of Karnataka State, India",India,,AMS-I.D. ver. 17,4220,5906
18/04/2012,"Power generation from bundled wind energy project in Gujarat, India",India,,AMS-I.D. ver. 16,12674,5649
18/04/2012,"Fuxin Kaidi Tailama Dongshan Wind Power Project",China,Switzerland,ACM0002 ver. 12,98807,6058
18/04/2012,"Sichuan Keguang 2nd Level Small Hydropower Project",China,Switzerland,AMS-I.D. ver. 17,44083,5964
19/04/2012,"Henan Biyang Zhongtian Wind Power Project",China,,ACM0002 ver. 12,84711,6015
19/04/2012,"Yunnan Chahe 3rd Level Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,20840,5411
19/04/2012,"Longxin Yiji and Erji Bundled Hydropower Project in Shaanxi Province",China,Netherlands/ Finland,AMS-I.D. ver. 17,26771,5812
19/04/2012,"Suibin Jicheng Wind Farm Project",China,,ACM0002 ver. 12,93875,5968
19/04/2012,"1.5 MW wind power project of Nirmal B. Thakkar H.U.F. at Rajasthan, India",India,,AMS-I.D. ver. 17,2780,5531
19/04/2012,"Hubei Enshi Baoshan Hydropower Plant and Hetaowan Hydropower Plant Bundled Hydropower Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,18210,5766
19/04/2012,"Huadian Ningxia Ningdong Phase 4 49.5MW Wind Farm Project",China,Sweden,ACM0002 ver. 12,89068,6060
19/04/2012,"Guohua Tongliao Kezuozhongqi Housijing Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,110249,5730
20/04/2012,"Bajo Frío Hydro Power Project",Panama,,ACM0002 ver. 12,151560,5960
20/04/2012,"Lintao County Anjiaju Hydroelectric Project",China,United Kingdom of Great Britain and Northern Ireland,AMS-I.D. ver. 17,54063,5837
20/04/2012,"Zhongdiantou Dalian Tuoshan Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,95249,5886
23/04/2012,"Qian’an Wangxin Caizi Town Windfarm Project Phase I",China,,ACM0002 ver. 12,102586,6016
23/04/2012,"Inner Mongolia Huitong Energy Zhuozi Bayinxile Wind Farm Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,104931,6092
23/04/2012,"Shandong Yangxin Jinyuan Biomass Cogeneration Project",China,Switzerland,ACM0006 ver. 11,41423,6018
23/04/2012,"Xinjiang Awati Biomass Power Generation Project",China,France,AMS-I.D. ver. 17,66671,6005
23/04/2012,"Fujian Fuqing Gaoshan Phase II Wind Power Project",China,,ACM0002 ver. 12,68001,5994
23/04/2012,"5 MW Dunali Run-of-the-river, Small Hydro Electric Project”, Chamba district, Himachal Pradesh by M/s Jala Shakti Limited (JSL).",India,,AMS-I.D. ver. 16,17262,5367
24/04/2012,"Guizhou Weining Xiliangshan Wind Power Project",China,Switzerland,ACM0002 ver. 12,83209,6004
24/04/2012,"Cerro de Hula Wind Project",Honduras,Switzerland/ United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,226978,5584
24/04/2012,"Datang Kazuo Shuangmiao Wind Farm Project",China,,ACM0002 ver. 12,102950,6038
24/04/2012,"Shandong Taipingshan Wind Farm Project",China,France,ACM0002 ver. 12,84740,5659
24/04/2012,"Datang New Energy Chayouhouqi Hanwula Wind Farm Project",China,,ACM0002 ver. 12,100256,6057
24/04/2012,"Huadian Inner Mongolia Naiman Banner First Phase 49.5MW Wind Power Project",China,United Kingdom of Great Britain and Northern Ireland,ACM0002 ver. 12,117800,6074
